station_id,station_name,station_type,stop_mode,latitude,longitude
310,Kilmore East,,V/Line Train,-37.293208,144.983565
311,Kyneton,,V/Line Train,-37.258277,144.450602
312,Lara,,V/Line Train,-38.02242800000001,144.414402
313,Little River,,V/Line Train,-37.96292800000001,144.49848500000004
314,Longwarry,,V/Line Train,-38.112838,145.77109099999996
315,Macedon,,V/Line Train,-37.423577,144.561397
316,Malmsbury,,V/Line Train,-37.189744,144.375325
317,Marshall,,V/Line Train,-38.19855,144.355055
318,Moe,,V/Line Train,-38.176713,146.262698
319,Mooroopna,,V/Line Train,-36.399127,145.358217
320,Morwell,,V/Line Train,-38.236723,146.396752
321,Murchison East,,V/Line Train,-36.61315,145.24063999999996
322,Nagambie,,V/Line Train,-36.78546,145.160358
323,Nar Nar Goon,,V/Line Train,-38.08159000000001,145.57166999999995
324,North Geelong,,V/Line Train,-38.122836,144.35227700000004
